"Drug Name","Active Ingredient","Form;Route","Appl. No.","Company","Date","Link"
"Abacavir and LAmivudine","Abacavir Sulfate;Lamivudine","TABLET;ORAL","204311","MYLAN LABORATORIES LIMITED","12/22/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204311s000lbl.pdf#page=34"
"Abilify","Aripiprazole","TABLET;ORAL","021436","OTSUKA","11/30/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021436s048lbl.pdf#page=47"
"Abilify","Aripiprazole","SOLUTION;ORAL","021713","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
"Abilify","Aripiprazole","TABLET, ORALLY DISINTEGRATING;ORAL","021729","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
"Abilify","Aripiprazole","INJECTABLE;INTRAMUSCULAR","021866","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
"Abilify Maintena Kit","Aripiprazole","FOR SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR","202971","OTSUKA PHARM CO LTD","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/202971s013lbl.pdf#page=52"
"Abilify Mycite Kit","Aripiprazole","TABLET;ORAL","207202","OTSUKA","11/30/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/207202s006lbl.pdf#page=64"
"Abrilada","Adalimumab-Afzb","INJECTABLE;INJECTION","761118","PFIZER INC","10/04/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761118s007lbl.pdf#page=47"
"Absorica","Isotretinoin","CAPSULE;ORAL","021951","SUN PHARM INDS INC","10/08/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021951s013lbl.pdf#page=32"
"Abstral","Fentanyl Citrate","TABLET;SUBLINGUAL","022510","SENTYNL THERAPS INC","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022510s018lbl.pdf#page=29"
"Accutane","Isotretinoin","CAPSULE;ORAL","018662","HOFFMANN LA ROCHE","10/22/2010","http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/018662s061MedGuide.pdf"
"Aciphex","Rabeprazole Sodium","TABLET, DELAYED RELEASE;ORAL","020973","WOODWARD","07/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020973s043lbl.pdf#page=34"
"Aciphex Sprinkle","Rabeprazole Sodium","CAPSULE, DELAYED RELEASE;ORAL","204736","AYTU","11/27/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/204736s012lbl.pdf#page=21"
"Actemra","Tocilizumab","INJECTABLE; INJECTION","125276","GENENTECH","02/28/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125276s134lbl.pdf#page=50"
"Actemra","Tocilizumab","INJECTABLE;INTRAVENOUS, SUBCUTANEOUS","125472","GENENTECH","02/28/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125472s046lbl.pdf#page=50"
"Acthar Gel","Corticotropin","INJECTABLE;INJECTION","008372","MALLINCKRODT ARD","10/29/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/008372s071lbl.pdf#page=17"
"Actiq","Fentanyl Citrate","TROCHE/LOZENGE;TRANSMUCOSAL","020747","CEPHALON","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020747s062lbl.pdf#page=44"
"Actonel","Risedronate Sodium","TABLET;ORAL","020835","APIL","11/05/2019","http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020835s052lbl.pdf#page=38"
